"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"devtools","devtools","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.4.2",NA,"R (>= 3.0.2), usethis (>= 2.0.1)","callr (>= 3.6.0), cli (>= 2.4.0), desc (>= 1.3.0), ellipsis
(>= 0.3.1), fs (>= 1.5.0), httr (>= 1.4.2), lifecycle (>=
1.0.0), memoise (>= 2.0.0), pkgbuild (>= 1.2.0), pkgload (>=
1.2.1), rcmdcheck (>= 1.3.3), remotes (>= 2.3.0), rlang (>=
0.4.10), roxygen2 (>= 7.1.1), rstudioapi (>= 0.13), rversions
(>= 2.0.2), sessioninfo (>= 1.1.1), stats, testthat (>= 3.0.2),
tools, utils, withr (>= 2.4.1)",NA,"BiocManager (>= 1.30.12), covr (>= 3.5.1), curl (>= 4.3),
digest (>= 0.6.27), DT (>= 0.17), foghorn (>= 1.3.2), gh (>=
1.2.1), gmailr (>= 1.0.0), knitr (>= 1.31), lintr (>= 2.0.1),
MASS, mockery (>= 0.4.2), pingr (>= 2.0.1), pkgdown (>= 1.6.1),
rhub (>= 1.1.1), rmarkdown (>= 2.7), spelling (>= 2.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"DHARMa","DHARMa","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.4.4",NA,"R (>= 3.0.2)","stats, graphics, utils, grDevices, Matrix, parallel, gap,
lmtest, ape, qgam (>= 1.3.2), lme4",NA,"knitr, testthat, rmarkdown, KernSmooth, sfsmisc, MASS, mgcv,
spaMM (>= 3.2.0), GLMMadaptive, glmmTMB (>= 1.0.1)","phyr, rstan, rjags, BayesianTools","GPL (>= 3)",NA,NA,NA,NA,"no","4.0.3"
"diagram","diagram","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.6.5",NA,"R (>= 2.01), shape","stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"diffobj","diffobj","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.3.5",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"digest","digest","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.6.28",NA,"R (>= 3.3.0)","utils",NA,"tinytest, knitr, rmarkdown, minidown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"Directional","Directional","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","5.4",NA,NA,"bigstatsr, parallel, doParallel, foreach, ggplot2, grDevices,
magrittr, RANN, Rfast, Rfast2, rgl, rnaturalearth, sf",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"dirmult","dirmult","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1.3-4",NA,"R (>= 2.5.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"discreteRV","discreteRV","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.2.2",NA,"R (>= 3.0.2)","plyr, MASS",NA,"testthat, roxygen2, knitr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"dismo","dismo","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.3-3",NA,"R (>= 3.2.0), raster (>= 2.5-2), sp (>= 1.2-0)","Rcpp, methods","Rcpp","rJava (>= 0.9-7), terra, rgdal, rgeos, XML, ROCR, deldir,
gstat, randomForest, kernlab, maptools, jsonlite, gbm (>=
2.1.1)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.3"
"distr","distr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.8.0",NA,"R(>= 2.14.0), methods, graphics, startupmsg, sfsmisc","stats, grDevices, utils, MASS",NA,"distrEx, svUnit (>= 0.7-11), knitr",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.0.0"
"distributional","distributional","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.2.2",NA,NA,"vctrs (>= 0.3.0), rlang (>= 0.4.5), generics, ellipsis, stats,
numDeriv, ggplot2, scales, farver, digest, utils, lifecycle",NA,"testthat (>= 2.1.0), covr, mvtnorm, actuar, ggdist",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"doParallel","doParallel","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0.16",NA,"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","4.0.3"
"downloader","downloader","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.4",NA,NA,"utils, digest",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"dplyr","dplyr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0.7",NA,"R (>= 3.3.0)","ellipsis, generics, glue (>= 1.3.2), lifecycle (>= 1.0.0),
magrittr (>= 1.5), methods, R6, rlang (>= 0.4.10), tibble (>=
2.1.3), tidyselect (>= 1.1.0), utils, vctrs (>= 0.3.5), pillar
(>= 1.5.1)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 1.4.3), knitr,
Lahman, lobstr, microbenchmark, nycflights13, purrr, rmarkdown,
RMySQL, RPostgreSQL, RSQLite, testthat (>= 3.0.2), tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"DT","DT","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.19",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), jsonlite (>=
0.9.16), magrittr, crosstalk, jquerylib, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.6), bslib, testit",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"dtplyr","dtplyr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1.0",NA,"R (>= 3.3)","crayon, data.table (>= 1.12.4), dplyr (>= 1.0.3), ellipsis,
glue, lifecycle, rlang, tibble, tidyselect, vctrs",NA,"bench, covr, knitr, rmarkdown, testthat (>= 3.0.0), tidyr (>=
1.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"dupree","dupree","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.3.0",NA,NA,"dplyr, purrr, tibble, magrittr, methods, stringdist (>=
0.9.5.5), lintr (>= 2.0.0), rlang",NA,"testthat (>= 2.1.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"dygraphs","dygraphs","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1.1.6",NA,"R (>= 3.0)","magrittr, htmlwidgets (>= 0.6), htmltools (>= 0.3.5), zoo (>=
1.7-10), xts (>= 0.9-7)",NA,"testthat","rmarkdown (>= 0.3.3), shiny (>= 0.10.2.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"e1071","e1071","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.7-9",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"ellipsis","ellipsis","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"evaluate","evaluate","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.14",NA,"R (>= 3.0.2)","methods",NA,"testthat, lattice, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"fable","fable","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.3.1",NA,"R (>= 3.4.0), fabletools (>= 0.3.0)","Rcpp (>= 0.11.0), rlang (>= 0.4.6), stats, dplyr (>= 1.0.0),
tsibble (>= 0.9.0), tibble, tidyr, utils, distributional","Rcpp (>= 0.11.0)","covr, feasts, forecast, knitr, nnet, rmarkdown, spelling,
testthat, tsibbledata (>= 0.2.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"fabletools","fabletools","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.3.1",NA,"R (>= 3.1.3)","tsibble (>= 0.9.0), tibble (>= 1.4.1), ggplot2 (>= 3.0.0),
tidyselect, rlang (>= 0.4.5), stats, dplyr (>= 1.0.0), tidyr
(>= 1.1.0), generics, R6, utils, vctrs (>= 0.2.2),
distributional, progressr, lifecycle",NA,"covr, crayon, fable (>= 0.2.0), future.apply, knitr, pillar
(>= 1.0.1), feasts (>= 0.1.2), rmarkdown, spelling, testthat,
tsibbledata (>= 0.2.0), lubridate, Matrix",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"fansi","fansi","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.5.0",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"farver","farver","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.1.0",NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"fastmap","fastmap","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1.0",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"FD","FD","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0-12",NA,"ade4, ape, geometry, vegan",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"feasts","feasts","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.2.2",NA,"R (>= 3.5.0), fabletools (>= 0.3.1)","rlang (>= 0.2.0), tibble (>= 1.4.1), tsibble (>= 0.9.0),
ggplot2 (>= 3.0.0), dplyr (>= 1.0.0), tidyr (>= 0.8.3), scales
(>= 1.1.0), vctrs, lubridate, grid, slider, utils, lifecycle",NA,"tsibbledata, pillar (>= 1.0.1), knitr, rmarkdown, testthat,
covr, seasonal, urca, fracdiff, fable",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"ff","ff","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","4.0.5",NA,"R (>= 2.10.1), bit (>= 4.0.0), utils",NA,NA,"biglm, testthat (>= 0.11.0)",NA,"GPL-2 | GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"fishMod","fishMod","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.29",NA,NA,NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.0.0"
"FixedPoint","FixedPoint","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.6.2",NA,"MASS",NA,NA,"testthat, schumaker, cubature, knitr, foreach, doParallel,
SQUAREM, rmarkdown, qpdf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"flock","flock","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.7",NA,NA,"Rcpp (>= 0.11.3), methods","Rcpp",NA,NA,"Apache License 2.0",NA,NA,NA,NA,"yes","4.0.3"
"FNN","FNN","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1.3",NA,"R (>= 3.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"fontawesome","fontawesome","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.2.2",NA,"R (>= 3.3.0)","rlang (>= 0.4.10), htmltools (>= 0.5.1.1)",NA,"covr, knitr, testthat, rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"forcats","forcats","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.5.1",NA,"R (>= 3.2)","ellipsis, magrittr, rlang, tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"foreach","foreach","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.5.1",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.0.3"
"Formula","Formula","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.2-4",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.3"
"fs","fs","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.5.0",NA,"R (>= 3.1)","methods",NA,"testthat, covr, pillar (>= 1.0.0), tibble (>= 1.1.0), crayon,
rmarkdown, knitr, withr, spelling, vctrs (>= 0.3.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"functional","functional","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.6",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"future","future","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.22.1",NA,NA,"digest, globals (>= 0.14.0), listenv (>= 0.8.0), parallel,
parallelly (>= 1.26.1), tools, utils",NA,"RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.3"
"future.apply","future.apply","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.8.1",NA,"R (>= 3.2.0), future (>= 1.21.0)","globals (>= 0.14.0), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"fuzzyjoin","fuzzyjoin","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1.6",NA,"R (>= 2.10)","stringdist, stringr, dplyr (>= 0.8.1), tidyr (>= 0.4.0),
purrr, geosphere, tibble",NA,"testthat, knitr, ggplot2, qdapDictionaries, readr, rvest,
rmarkdown, maps, IRanges, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"galah","galah","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.3.1",NA,"R (>= 4.0.0)","assertthat, crul, data.table, data.tree, digest, httr,
jsonlite (>= 0.9.8), sf, sp, stringr (>= 1.0.0), utils,
wellknown",NA,"vcr (>= 0.6.0), collapsibleTree, covr, dplyr, ggplot2, knitr,
magrittr, pkgdown, rmarkdown, taxize, testthat, treemapify,
viridis",NA,"MPL-2.0",NA,NA,NA,NA,"no","4.0.3"
"gamm4","gamm4","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.2-6",NA,"R (>= 2.9.0), methods, Matrix, lme4 (>= 1.0), mgcv (>= 1.7-23)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"gap","gap","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.2.3-1",NA,"R (>= 2.10)",NA,NA,"BradleyTerry2, MASS, Matrix, MCMCglmm, R2jags, bdsmatrix,
calibrate, circlize, coda, cowplot, coxme, dplyr, foreign,
forestplot, gap.datasets, genetics, ggplot2, grid, haplo.stats,
jsonlite, kinship2, lattice, magic, matrixStats, meta, metafor,
mets, nlme, pedigree, pedigreemm, plotly, plotrix, reshape,
rmeta, rms, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"gargle","gargle","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.2.0",NA,"R (>= 3.3)","cli (>= 3.0.0), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.0), jsonlite, rappdirs, rlang (>= 0.4.9), rstudioapi,
stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr, mockr,
rmarkdown, sodium, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"generics","generics","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1.0",NA,"R (>= 3.1)","methods",NA,"covr, pkgload, testthat, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"genscore","genscore","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0.2",NA,NA,"Rdpack, mvtnorm, tmvtnorm, stringr",NA,"Matrix, igraph, zoo, knitr, rmarkdown, cubature",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"geodata","geodata","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.3-2",NA,"R (>= 3.5.0), terra",NA,NA,"jsonlite, R.utils",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.3"
"geojson","geojson","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.3.4",NA,NA,"methods, sp, jsonlite (>= 1.6), protolite (>= 1.8), jqr (>=
1.1.0), magrittr, lazyeval",NA,"geojsonlint (>= 0.2.0), tibble, testthat, knitr, rmarkdown,
sf, stringi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"geojsonio","geojsonio","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.9.4",NA,"R (>= 2.10)","methods, sp, sf (>= 0.6), geojsonsf, rgeos, crul, maptools,
jsonlite (>= 0.9.21), magrittr, readr (>= 0.2.2), V8, geojson
(>= 0.2.0), jqr",NA,"gistr, testthat, leaflet, maps, DBI, RPostgres","RColorBrewer","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"geojsonlint","geojsonlint","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.4.0",NA,"R (>= 2.10)","crul (>= 0.7.0), jsonlite (>= 0.9.19), jsonvalidate (>=
1.0.0), V8",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"geojsonsf","geojsonsf","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.0.1",NA,"R (>= 3.3.0)","Rcpp","geometries, jsonify (>= 1.1.1), rapidjsonr (>= 1.2.0), Rcpp,
sfheaders (>= 0.2.2)","covr, jsonify, knitr, rmarkdown, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"geometries","geometries","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.2.0",NA,NA,"Rcpp","Rcpp","covr, knitr, rmarkdown, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"geometry","geometry","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.4.5",NA,"R (>= 3.0.0)","magic, Rcpp, lpSolve, linprog","Rcpp, RcppProgress","spelling, testthat, rgl, R.matlab, tripack",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.3"
"geosphere","geosphere","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.5-10",NA,"R (>= 3.0.0)","sp",NA,"methods, raster",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.0"
"gert","gert","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.4.1",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 1.4.1),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"GGally","GGally","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.1.2",NA,"R (>= 3.1), ggplot2 (>= 3.3.4)","dplyr (>= 1.0.0), forcats, grDevices, grid, gtable (>= 0.2.0),
lifecycle, plyr (>= 1.8.3), progress, RColorBrewer, reshape (>=
0.8.5), rlang, scales (>= 1.1.0), tidyr, utils",NA,"broom (>= 0.7.0), broom.helpers (>= 1.1.0), chemometrics,
geosphere (>= 1.5-1), ggforce, Hmisc, igraph (>= 1.0.1),
intergraph (>= 2.0-2), labelled, maps (>= 3.1.0), mapproj,
nnet, network (>= 1.17.1), scagnostics, sna (>= 2.3-2),
survival, rmarkdown, roxygen2, testthat, crosstalk, knitr,
spelling, emmeans",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.0.3"
"gganimate","gganimate","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0.7",NA,"ggplot2 (>= 3.0.0)","stringi, tweenr (>= 1.0.1), grid, rlang, glue, progress, plyr,
scales, grDevices, utils",NA,"magick, svglite, knitr, rmarkdown, testthat, base64enc,
htmltools, covr, transformr, av, gifski, ragg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"ggbeeswarm","ggbeeswarm","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.6.0",NA,"R (>= 3.0.0), ggplot2 (>= 2.0)","beeswarm, vipor",NA,"gridExtra",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"ggExtra","ggExtra","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.9",NA,"R (>= 3.1.0)","colourpicker (>= 1.0), ggplot2 (>= 2.2.0), grDevices, grid (>=
3.1.3), gtable (>= 0.2.0), miniUI (>= 0.1.1), scales (>=
0.2.0), shiny (>= 0.13.0), shinyjs (>= 0.5.2), utils, R6",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5), testthat,
vdiffr, fontquiver, svglite, withr, devtools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"ggfun","ggfun","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.0.4",NA,NA,"ggplot2, grid, rlang, utils",NA,"ggplotify, knitr, rmarkdown, prettydoc",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"ggimage","ggimage","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.3.0",NA,"R (>= 3.4.0), ggplot2","ggfun, ggplotify, grid, jsonlite, magick, methods, scales,
tibble, tools, utils",NA,"ape, ggtree, gridGraphics, httr, rsvg",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"ggmcmc","ggmcmc","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.5.1.1",NA,"R (>= 3.5), dplyr (>= 1.0.0), tidyr (>= 1.1.0), ggplot2","GGally (>= 1.1.0)",NA,"coda, knitr, rmarkdown, ggthemes, gridExtra, Cairo, extrafont",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"ggplot2","ggplot2","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","3.3.5",NA,"R (>= 3.3)","digest, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
MASS, mgcv, rlang (>= 0.4.10), scales (>= 0.5.0), stats,
tibble, withr (>= 2.0.0)",NA,"covr, ragg, dplyr, ggplot2movies, hexbin, Hmisc, interp,
knitr, lattice, mapproj, maps, maptools, multcomp, munsell,
nlme, profvis, quantreg, RColorBrewer, rgeos, rmarkdown, rpart,
sf (>= 0.7-3), svglite (>= 1.2.0.9001), testthat (>= 2.1.0),
vdiffr (>= 1.0.0), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"ggplotify","ggplotify","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1.0",NA,"R (>= 3.4.0)","ggplot2, graphics, grDevices, grid, gridGraphics, yulab.utils",NA,"aplot, colorspace, cowplot, ggimage, knitr, rmarkdown,
lattice, prettydoc, vcd, utils",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"ggrepel","ggrepel","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.9.1",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0)","Rcpp","knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc,
ggbeeswarm, dplyr, magrittr, readr, stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"ggridges","ggridges","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.5.3",NA,"R (>= 3.2)","ggplot2 (>= 3.0.0), grid (>= 3.0.0), plyr (>= 1.8.0), scales
(>= 0.4.1), withr (>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"ggtern","ggtern","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","3.3.5",NA,"R (>= 4.0), ggplot2 (>= 3.3.5)","compositions (>= 2.0-2), grid, gridExtra (>= 2.3), gtable (>=
0.1.2), latex2exp (>= 0.5), MASS, plyr (>= 1.8.3), scales (>=
0.3.0), stats, proto (>= 1.0), utils, lattice, hexbin (>=
1.28.2)",NA,NA,"sp","GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"ggtext","ggtext","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1.1",NA,"R (>= 3.5)","ggplot2 (>= 3.3.0), grid, gridtext, rlang, scales",NA,"cowplot, dplyr, glue, knitr, rmarkdown, testthat, vdiffr",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"gh","gh","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.3.0",NA,NA,"cli (>= 2.0.1), gitcreds, httr (>= 1.2), ini, jsonlite",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 2.3.2), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"gifski","gifski","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.4.3-1",NA,NA,NA,NA,"ggplot2, gapminder",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"git2r","git2r","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.28.0",NA,"R (>= 3.1)","graphics, utils",NA,"getPass",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"gitcreds","gitcreds","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1.1",NA,NA,NA,NA,"codetools, testthat, knitr, mockery, oskeyring, rmarkdown,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"glmmTMB","glmmTMB","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1.2.3",NA,"R (>= 3.2.0)","methods, TMB (>= 1.7.14), lme4 (>= 1.1-18.9000), Matrix, nlme,
numDeriv","TMB, RcppEigen","knitr, rmarkdown, testthat, MASS, lattice, ggplot2 (>=
2.2.1), mlmRev, bbmle (>= 1.0.19), pscl, coda, reshape2, car
(>= 3.0.6), emmeans (>= 1.4), estimability, DHARMa, multcomp,
MuMIn, effects (>= 4.0-1), dotwhisker, broom, broom.mixed,
plyr, png, boot, texreg, xtable, huxtable, mvabund",NA,"AGPL-3",NA,NA,NA,NA,"yes","4.0.3"
"globals","globals","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.14.0",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.3"
